,tilted_insol,altitude,normal_insol,surface_temp,TEG_1,TEG_2,TEG_3,CONC_1,CONC_2,CONC_3
1970-01-01 00:00:00,10.620346242059899,90.40102040791032,1354.3750676017207,278.2309327067802,238.98434326680456,239.07405817114181,239.1634524377817,239.1634160522594,262.45806545156694,297.0
1970-01-01 01:00:00,109.46251225849588,85.36279361354374,1354.4005813339222,283.3554176527271,267.54239256868954,267.5144460555279,267.49988235600534,267.5089872884837,277.3062744109333,297.0
1970-01-01 02:00:00,227.56908267453903,80.32451171057689,1354.4733376982092,288.4440481200205,295.34015104829484,295.32412360326515,295.30821311907823,295.31483707000496,292.2764579208508,297.0
1970-01-01 03:00:00,343.944015175933,75.28612170768503,1354.5928076566709,293.4580708546283,316.5744515695917,316.5597970000691,316.5426893459415,316.54796455351726,303.7451249982377,297.0
1970-01-01 04:00:00,457.7002477225173,70.24757602083423,1354.7582203860343,298.3592667289238,333.88930574674674,333.87427276780005,333.85612216427256,333.86051262091263,312.9407534091929,297.0
1970-01-01 05:00:00,567.969530525086,65.20883608338036,1354.9685678740293,303.1102271413278,348.4853804411927,348.46959081443765,348.45058477082165,348.4543278034282,320.6194021001269,297.0
1970-01-01 06:00:00,673.908820357872,60.16987299779883,1355.2226096049153,307.6746295150464,361.01931596314483,361.0027130896068,360.98300565502814,360.98624022650563,327.1786685852257,297.0
1970-01-01 07:00:00,774.7064202592042,55.13067452184615,1355.518877247851,312.0175018272876,371.89194336019784,371.8745624765875,371.85427720648323,371.85709182556633,332.85264283656994,297.0
1970-01-01 08:00:00,869.5879492969375,50.09125449771814,1355.8556789378008,316.1054798163786,381.36580359123747,381.3477071172177,381.32694575122866,381.32940006883587,337.79111657452006,297.0
1970-01-01 09:00:00,957.8221893877487,45.05166194736786,1356.2311026394943,319.90705889106107,389.6213452346231,389.60260198021876,389.5814511223363,389.5835869590401,342.095449988603,297.0
1970-01-01 10:00:00,1038.7264989698751,40.01200866151114,1356.6430185977406,323.3928273764992,396.78683966236633,396.76751789430574,396.74605362682735,396.74790112364207,345.8369286298711,297.0
1970-01-01 11:00:00,1111.672076296227,34.97250810315061,1357.0890805232868,326.5356932803471,402.95561716717805,402.935782542955,402.9140736094489,402.91565489749024,349.0670453374906,297.0
1970-01-01 12:00:00,1176.08879291819,29.933561990791382,1357.566725037432,329.3110925336331,408.1965874821599,408.17630279495364,408.15441286715065,408.15574436616845,351.82365332638807,297.0
1970-01-01 13:00:00,1231.4696516232998,24.89595266463906,1358.0731698362024,331.69718103643055,412.56096086194685,412.5402864679475,412.5182758259068,412.51936974187095,354.13483696583955,297.0
1970-01-01 14:00:00,1277.3748746576032,19.861328858756913,1358.605411554599,333.6750107255032,416.0866914718941,416.0656859678578,416.0436128080151,416.04447813756633,356.02144202931623,297.0
1970-01-01 15:00:00,1313.4355127419158,14.83372281192274,1359.1602219342408,335.2286847833011,418.8014768761787,418.78019786524766,418.7581193840434,418.7587625970481,357.4987731766665,297.0
1970-01-01 16:00:00,1339.3565741577793,9.826070379198363,1359.7341455725975,336.345490828874,420.7248010566082,420.70330595450855,420.68127930915205,420.6817048138537,358.5777474049179,297.0
1970-01-01 17:00:00,1354.9196831273323,4.916719760097897,1360.3234981428031,337.0159931772752,421.86930733352807,421.847654217928,421.8257374479614,421.8259478980133,359.2656746994744,297.0
1970-01-01 18:00:00,612.1860124134428,2.067584474637038,612.529324454051,305.0151608770013,329.40070579279654,329.58653750161875,329.7725438220683,329.7211791021801,335.4364996199804,297.0
