,time,beam,diff,total,n,B,G_on,solar_time,hour_angle,declination,cos_zen,altitude,azimuth,I_slope_beam,I_slope_diffuse,I_slope_reflect,I_slope_total
7229,2021-10-29 05:00:00,0.0,0.0,0.0,302,296.8767123287671,1388.0830416452145,2021-10-29 05:00:00,-105.0,-14.428423869140007,-0.35059602464533485,-23.06137154,269.43557048,0.0,0.0,0.0,0.0
7230,2021-10-29 06:00:00,0.0,0.0,0.0,302,296.8767123287671,1388.0830416452145,2021-10-29 06:00:00,-90.0,-14.428423869140007,-0.15191463910563266,-11.2193869,278.37555499,0.0,0.0,0.0,0.0
7231,2021-10-29 07:00:00,8.58283020235333,15.068918510420596,23.651748712773927,302,296.8767123287671,1388.0830416452145,2021-10-29 07:00:00,-75.0,-14.428423869140007,0.046766746434069306,0.35458307,287.31328246,0.15335135741469214,0.04065355713242967,0.012761734916964347,0.20676664946408616
7232,2021-10-29 08:00:00,89.35113573902153,60.967837236918974,150.3189729759405,302,296.8767123287671,1388.0830416452145,2021-10-29 08:00:00,-60.0,-14.428423869140007,0.2319083238857547,11.35315296,296.96309981,0.7538900851697505,0.16448157527945767,0.08110735951939234,0.9994790199686004
7233,2021-10-29 09:00:00,227.26221710541975,80.2273253687743,307.4895424741941,302,296.8767123287671,1388.0830416452145,2021-10-29 09:00:00,-45.0,-14.428423869140007,0.3908930007070137,21.37261651,308.03234631,1.524899367540362,0.2164406259948947,0.16591162363715503,1.9072516171724119
7234,2021-10-29 10:00:00,352.50862358285224,89.29513791673938,441.8037614995916,302,296.8767123287671,1388.0830416452145,2021-10-29 10:00:00,-30.0,-14.428423869140007,0.512886233907079,29.83393744,321.23414094,2.1542184460638496,0.2409041490559516,0.2383833245501393,2.6335059196699406
7235,2021-10-29 11:00:00,436.01306105237154,93.5926542390522,529.6057152914237,302,296.8767123287671,1388.0830416452145,2021-10-29 11:00:00,-15.0,-14.428423869140007,0.5895743862467158,35.94080982,337.04020435999996,2.5557552911443873,0.252498167911112,0.28575847947378974,3.094011938529289
7236,2021-10-29 12:00:00,465.1717156969364,94.85946427425247,560.0311799711889,302,296.8767123287671,1388.0830416452145,2021-10-29 12:00:00,0.0,-14.428423869140007,0.6157312868771418,38.8080338,355.06853614,2.6937090236976835,0.2559158208837747,0.3021750971067565,3.2517999416882146
7237,2021-10-29 13:00:00,436.20707522394997,93.53561407260815,529.7426892965582,302,296.8767123287671,1388.0830416452145,2021-10-29 13:00:00,15.0,-14.428423869140007,0.5895743862467158,37.88402473,13.659532039999988,2.5568925340159008,0.25234428256998603,0.2858323863110925,3.0950692028969793
7238,2021-10-29 14:00:00,352.83126008389297,89.20028278543342,442.03154286932636,302,296.8767123287671,1388.0830416452145,2021-10-29 14:00:00,30.0,-14.428423869140007,0.512886233907079,33.35767587,30.747072330000037,2.1561901127279195,0.24064824492473047,0.23850622816690262,2.6353445858195528
7239,2021-10-29 15:00:00,227.61186795304613,80.12452801957214,307.73639597261825,302,296.8767123287671,1388.0830416452145,2021-10-29 15:00:00,45.0,-14.428423869140007,0.3908930007070137,26.00704666,45.27333213999998,1.5272454784038236,0.2161632950168313,0.16604481797083714,1.909453591391492
7240,2021-10-29 16:00:00,89.59948832473891,60.89482157671807,150.49430990145697,302,296.8767123287671,1388.0830416452145,2021-10-29 16:00:00,60.0,-14.428423869140007,0.2319083238857547,16.70872046,57.35666328000002,0.7559855319757708,0.16428459058467107,0.08120196577416741,1.0014720883346093
7241,2021-10-29 17:00:00,8.621159054672571,15.05764982783874,23.678808882511312,302,296.8767123287671,1388.0830416452145,2021-10-29 17:00:00,75.0,-14.428423869140007,0.046766746434069306,6.15525953,67.63841503000003,0.15403618763884022,0.040623156010356314,0.012776335727973726,0.20743567937717028
7242,2021-10-29 18:00:00,0.0,0.0,0.0,302,296.8767123287671,1388.0830416452145,2021-10-29 18:00:00,90.0,-14.428423869140007,-0.15191463910563266,-5.16860915,76.83771617999997,0.0,0.0,0.0,0.0
7243,2021-10-29 19:00:00,0.0,0.0,0.0,302,296.8767123287671,1388.0830416452145,2021-10-29 19:00:00,105.0,-14.428423869140007,-0.35059602464533485,-16.91687594,85.65090528000002,0.0,0.0,0.0,0.0
7244,2021-10-29 20:00:00,0.0,0.0,0.0,302,296.8767123287671,1388.0830416452145,2021-10-29 20:00:00,120.0,-14.428423869140007,-0.5357376020970198,-28.80213451,94.83872595000003,0.0,0.0,0.0,0.0
7245,2021-10-29 21:00:00,0.0,0.0,0.0,302,296.8767123287671,1388.0830416452145,2021-10-29 21:00:00,135.0,-14.428423869140007,-0.6947222789182791,-40.50408741,105.45537263,0.0,0.0,0.0,0.0
7246,2021-10-29 22:00:00,0.0,0.0,0.0,302,296.8767123287671,1388.0830416452145,2021-10-29 22:00:00,150.0,-14.428423869140007,-0.8167155121183445,-51.50989177,119.32286648000002,0.0,0.0,0.0,0.0
7247,2021-10-29 23:00:00,0.0,0.0,0.0,302,296.8767123287671,1388.0830416452145,2021-10-29 23:00:00,165.0,-14.428423869140007,-0.8934036644579811,-60.73438607,139.81292492,0.0,0.0,0.0,0.0
7248,2021-10-30 00:00:00,0.0,0.0,0.0,303,297.86301369863014,1388.7664067385904,2021-10-30 00:00:00,-180.0,-14.744488002272313,-0.9217142071114466,-65.8321914,170.60941527,0.0,0.0,0.0,0.0
7249,2021-10-30 01:00:00,0.0,0.0,0.0,303,297.86301369863014,1388.7664067385904,2021-10-30 01:00:00,-165.0,-14.744488002272313,-0.8955948281815653,-64.15398279,205.30961721,0.0,0.0,0.0,0.0
7250,2021-10-30 02:00:00,0.0,0.0,0.0,303,297.86301369863014,1388.7664067385904,2021-10-30 02:00:00,-150.0,-14.744488002272313,-0.8190166839016784,-56.72827743,231.07806594,0.0,0.0,0.0,0.0
7251,2021-10-30 03:00:00,0.0,0.0,0.0,303,297.86301369863014,1388.7664067385904,2021-10-30 03:00:00,-135.0,-14.744488002272313,-0.6971984482530931,-46.47278107,247.91176518,0.0,0.0,0.0,0.0
7252,2021-10-30 04:00:00,0.0,0.0,0.0,303,297.86301369863014,1388.7664067385904,2021-10-30 04:00:00,-120.0,-14.744488002272313,-0.5384418326811076,-35.06160392,259.94933783,0.0,0.0,0.0,0.0
7253,2021-10-30 05:00:00,0.0,0.0,0.0,303,297.86301369863014,1388.7664067385904,2021-10-30 05:00:00,-105.0,-14.744488002272313,-0.35356583817924103,-23.23994684,269.73805276,0.0,0.0,0.0,0.0
7254,2021-10-30 06:00:00,0.0,0.0,0.0,303,297.86301369863014,1388.7664067385904,2021-10-30 06:00:00,-90.0,-14.744488002272313,-0.15516945825076867,-11.40220417,278.65617949,0.0,0.0,0.0,0.0
7255,2021-10-30 07:00:00,7.930166118046765,13.937229365019956,21.867395483066723,303,297.86301369863014,1388.7664067385904,2021-10-30 07:00:00,-75.0,-14.744488002272313,0.043226921677703506,0.1591097,287.57943101,0.14697718798938914,0.03760043893440635,0.011798954397338156,0.19637658132113361
