,time,beam,diff,total,n,B,G_on,solar_time,hour_angle,declination,cos_zen,altitude,azimuth,insolation_vertical
5516,2021-08-18 20:00:00,0.0,0.0,0.0,230,225.86301369863014,1336.1477109710922,2021-08-18 19:27:48.995698,111.94999999999999,12.785888283778267,-0.15401458033992385,64.90748131,-10.28491693,442.95799251609156
5517,2021-08-18 21:00:00,0.0,0.0,0.0,230,225.86301369863014,1336.1477109710922,2021-08-18 20:27:48.995698,126.94999999999999,12.785888283778267,-0.3297314595583092,74.4390363,0.8502645,442.95799251609156
5518,2021-08-18 22:00:00,0.0,0.0,0.0,230,225.86301369863014,1336.1477109710922,2021-08-18 21:27:48.995698,141.95,12.785888283778267,-0.47378258790049965,83.36083777,12.50036301,442.95799251609156
5519,2021-08-18 23:00:00,0.0,0.0,0.0,230,225.86301369863014,1336.1477109710922,2021-08-18 22:27:48.995698,156.95,12.785888283778267,-0.5763511190257197,92.40529811,24.36343722,442.95799251609156
5520,2021-08-19 00:00:00,0.0,0.0,0.0,231,226.84931506849315,1336.7187920541712,2021-08-18 23:28:02.384124,172.00833333333327,12.445619629397351,-0.6351085074315533,102.4994005,36.1352582,443.14731659160174
5521,2021-08-19 01:00:00,0.0,0.0,0.0,231,226.84931506849315,1336.7187920541712,2021-08-19 00:28:02.384124,-172.99166666666667,12.445619629397351,-0.6368424015239496,115.12599906,47.38039681,443.14731659160174
5522,2021-08-19 02:00:00,0.0,0.0,0.0,231,226.84931506849315,1336.7187920541712,2021-08-19 01:28:02.384124,-157.99166666666667,12.445619629397351,-0.5862222342690062,132.97057692,57.25220184,443.14731659160174
5523,2021-08-19 03:00:00,0.0,0.0,0.0,231,226.84931506849315,1336.7187920541712,2021-08-19 02:28:02.384124,-142.99166666666667,12.445619629397351,-0.48669768641136624,159.84337469,63.90809721,443.14731659160174
5524,2021-08-19 04:00:00,0.0,0.0,0.0,231,226.84931506849315,1336.7187920541712,2021-08-19 03:28:02.384124,-127.99166666666666,12.445619629397351,-0.34505119141543533,193.88288733,64.5621496,443.14731659160174
5525,2021-08-19 05:00:00,0.0,0.0,0.0,231,226.84931506849315,1336.7187920541712,2021-08-19 04:28:02.384124,-112.99166666666666,12.445619629397351,-0.17093572383328615,222.64383461,58.82521361,443.14731659160174
5526,2021-08-19 06:00:00,4.960588601212453,7.157010216602778,12.117598817815232,231,226.84931506849315,1336.7187920541712,2021-08-19 05:28:02.384124,-97.99166666666666,12.445619629397351,0.023783034958773028,241.89905868,49.3701119,1090.6431278372468
5527,2021-08-19 07:00:00,92.22088657395912,54.6960842337134,146.91697080767253,231,226.84931506849315,1336.7187920541712,2021-08-19 06:28:02.384124,-82.99166666666666,12.445619629397351,0.22583532333702697,255.24649954,38.29031483,1068.814266282335
5528,2021-08-19 08:00:00,266.0096642248738,74.46433913860754,340.47400336348136,231,226.84931506849315,1336.7187920541712,2021-08-19 07:28:02.384124,-67.99166666666666,12.445619629397351,0.421451611755692,265.66886439,26.56538256,1025.5759246357065
5529,2021-08-19 09:00:00,450.33646606957564,83.973830049282,534.3102961188577,231,226.84931506849315,1336.7187920541712,2021-08-19 08:28:02.384124,-52.99166666666666,12.445619629397351,0.5973009734302372,274.81758908,14.6783251,954.4156314950194
5530,2021-08-19 10:00:00,610.1862107015119,89.17783413108323,699.3640448325951,231,226.84931506849315,1336.7187920541712,2021-08-19 09:28:02.384124,-37.991666666666674,12.445619629397351,0.7413995649673532,283.68888905,2.94451515,865.7594549140604
5531,2021-08-19 11:00:00,727.0140209193906,91.9712131988924,818.9852341182831,231,226.84931506849315,1336.7187920541712,2021-08-19 10:28:02.384124,-22.991666666666674,12.445619629397351,0.8439273054879669,293.03484514,-8.34239385,777.2656856299319
5532,2021-08-19 12:00:00,789.8061219730303,93.06093593548542,882.8670579085157,231,226.84931506849315,1336.7187920541712,2021-08-19 11:28:02.384124,-7.991666666666674,12.445619629397351,0.8978970989107012,303.56968694,-18.81998407,715.479872722314
5533,2021-08-19 13:00:00,793.1626415690373,92.70222368359532,885.8648652526326,231,226.84931506849315,1336.7187920541712,2021-08-19 12:28:02.384124,7.008333333333326,12.445619629397351,0.8996309930030975,316.04233278,-27.97336042,713.2186265093878
5534,2021-08-19 14:00:00,736.860954918196,90.91772384693196,827.7786787651279,231,226.84931506849315,1336.7187920541712,2021-08-19 13:28:02.384124,22.008333333333326,12.445619629397351,0.8490108257481542,331.09879328,-35.06505877,772.0339633028815
5535,2021-08-19 15:00:00,625.7570626964487,87.529421810893,713.2864845073417,231,226.84931506849315,1336.7187920541712,2021-08-19 14:28:02.384124,37.008333333333326,12.445619629397351,0.749486277890514,348.75627688,-39.17930218,859.7280904749912
5536,2021-08-19 16:00:00,436.48693330768987,91.86328476328818,528.350218070978,231,226.84931506849315,1336.7187920541712,2021-08-19 15:28:02.384124,52.008333333333326,12.445619629397351,0.6078397828945834,7.72424809,-39.56053225,948.9729380140246
5537,2021-08-19 17:00:00,260.05219027048565,80.66163307254558,340.7138233430312,231,226.84931506849315,1336.7187920541712,2021-08-19 16:28:02.384124,67.00833333333327,12.445619629397351,0.4337243153124351,25.78522253,-36.12799218,1021.7209921782423
5538,2021-08-19 18:00:00,92.39958860627519,59.41447324622221,151.8140618524974,231,226.84931506849315,1336.7187920541712,2021-08-19 17:28:02.384124,82.00833333333327,12.445619629397351,0.2390055565203758,41.38421194,-29.5426637,1066.8239276898776
5539,2021-08-19 19:00:00,6.7917962244681345,11.389562585375344,18.18135880984348,231,226.84931506849315,1336.7187920541712,2021-08-19 18:28:02.384124,97.00833333333327,12.445619629397351,0.03695326814212188,54.32648208,-20.72714746,1088.0447061956124
5540,2021-08-19 20:00:00,0.0,0.0,0.0,231,226.84931506849315,1336.7187920541712,2021-08-19 19:28:02.384124,112.00833333333327,12.445619629397351,-0.1586630202765431,65.19183975,-10.46420173,443.14731659160174
5541,2021-08-19 21:00:00,0.0,0.0,0.0,231,226.84931506849315,1336.7187920541712,2021-08-19 20:28:02.384124,127.00833333333327,12.445619629397351,-0.3345123819510885,74.73105925,0.69145516,443.14731659160174
5542,2021-08-19 22:00:00,0.0,0.0,0.0,231,226.84931506849315,1336.7187920541712,2021-08-19 21:28:02.384124,142.00833333333327,12.445619629397351,-0.4786109734882046,83.66620551,12.35321335,443.14731659160174
5543,2021-08-19 23:00:00,0.0,0.0,0.0,231,226.84931506849315,1336.7187920541712,2021-08-19 22:28:02.384124,157.00833333333327,12.445619629397351,-0.5811387140088187,92.73384218,24.21848389,443.14731659160174
5544,2021-08-20 00:00:00,0.0,0.0,0.0,232,227.83561643835617,1337.2988461126863,2021-08-19 23:28:16.332097,172.06666666666666,12.101663069321772,-0.6397958964596242,102.86412265,35.9808172,443.33961537653465
5545,2021-08-20 01:00:00,0.0,0.0,0.0,232,227.83561643835617,1337.2988461126863,2021-08-20 00:28:16.332097,-172.93333333333334,12.101663069321772,-0.641326075622785,115.53859573,47.1999285,443.33961537653465
5546,2021-08-20 02:00:00,0.0,0.0,0.0,232,227.83561643835617,1337.2988461126863,2021-08-20 01:28:16.332097,-157.93333333333334,12.101663069321772,-0.5904403618550363,133.41423163,57.02190932,443.33961537653465
5547,2021-08-20 03:00:00,0.0,0.0,0.0,232,227.83561643835617,1337.2988461126863,2021-08-20 02:28:16.332097,-142.93333333333334,12.101663069321772,-0.4906065324570321,160.17494052,63.60876739,443.33961537653465
5548,2021-08-20 04:00:00,0.0,0.0,0.0,232,227.83561643835617,1337.2988461126863,2021-08-20 03:28:16.332097,-127.93333333333334,12.101663069321772,-0.3486280979190427,193.86615514,64.22877603,443.33961537653465
5549,2021-08-20 05:00:00,0.0,0.0,0.0,232,227.83561643835617,1337.2988461126863,2021-08-20 04:28:16.332097,-112.93333333333334,12.101663069321772,-0.17418065392437537,222.39019576,58.51878487,443.33961537653465
5550,2021-08-20 06:00:00,4.3493771525110345,6.276581641534173,10.625958794045207,232,227.83561643835617,1337.2988461126863,2021-08-20 05:28:16.332097,-97.93333333333334,12.101663069321772,0.02084749450676522,241.60110893,49.09893172,1092.0705876156703
5551,2021-08-20 07:00:00,90.31258662931688,54.325059712174955,144.63764634149183,232,227.83561643835617,1337.2988461126863,2021-08-20 06:28:16.332097,-82.93333333333334,12.101663069321772,0.22316550135805108,254.96415767,38.04089686,1069.6679164595387
