,time,beam,diff,total,n,B,G_on,solar_time,hour_angle,declination,cos_zen,altitude,azimuth,I_slope_beam,I_slope_diffuse,I_slope_reflect,I_slope_total,R_b_ave,start_hour_angle,end_hour_angle
6208,2021-09-16 16:00:00,246.16763118025992,80.2504737114496,326.4181048917095,259,254.46575342465752,1355.668565028092,2021-09-16 16:00:00,60.0,1.814712938024703,0.41543140466545947,30.02960962,67.6393309,246.4562951754088,80.25041259723452,0.00014914892346512557,326.7068569215668,1.0011726318109528,52.5,67.5
6209,2021-09-16 17:00:00,82.34680957948378,58.21537050464549,140.56218008412927,259,254.46575342465752,1355.668565028092,2021-09-16 17:00:00,75.0,1.814712938024703,0.22435610471016806,18.6527995,78.38253221999997,82.43157155680558,58.21532617111686,6.42265166217239e-05,140.64696195443906,1.0010293292205812,67.5,82.5
6210,2021-09-16 18:00:00,3.4727259608462737,6.072162147060321,9.544888107906594,259,254.46575342465752,1355.668565028092,2021-09-16 18:00:00,90.0,1.814712938024703,0.01930705057515985,6.84743836,87.87283731000002,3.473441632649979,6.07215752284558,4.3613076742836795e-06,9.545603516803233,1.0002060835815363,82.5,91.39643274404878
6211,2021-09-16 19:00:00,0.0,0.0,0.0,259,254.46575342465752,1355.668565028092,2021-09-16 19:00:00,105.0,1.814712938024703,-0.18574200355984857,-5.03162,97.03239056000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6212,2021-09-16 20:00:00,0.0,0.0,0.0,259,254.46575342465752,1355.668565028092,2021-09-16 20:00:00,120.0,1.814712938024703,-0.3768173035151396,-16.67034135,106.66931868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6213,2021-09-16 21:00:00,0.0,0.0,0.0,259,254.46575342465752,1355.668565028092,2021-09-16 21:00:00,135.0,1.814712938024703,-0.540897383365624,-27.68979269,117.67108988000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6214,2021-09-16 22:00:00,0.0,0.0,0.0,259,254.46575342465752,1355.668565028092,2021-09-16 22:00:00,150.0,1.814712938024703,-0.6668004568246435,-37.52101903,131.14953623999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6215,2021-09-16 23:00:00,0.0,0.0,0.0,259,254.46575342465752,1355.668565028092,2021-09-16 23:00:00,165.0,1.814712938024703,-0.7459464375006323,-45.24612991,148.34245671999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6216,2021-09-17 00:00:00,0.0,0.0,0.0,260,255.45205479452054,1356.4218589250893,2021-09-17 00:00:00,-180.0,1.412001354227852,-0.7773820416959297,-49.55773356,169.64293997000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6217,2021-09-17 01:00:00,0.0,0.0,0.0,260,255.45205479452054,1356.4218589250893,2021-09-17 01:00:00,-165.0,1.412001354227852,-0.7503814768603939,-49.31966308,192.78390417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6218,2021-09-17 02:00:00,0.0,0.0,0.0,260,255.45205479452054,1356.4218589250893,2021-09-17 02:00:00,-150.0,1.412001354227852,-0.6712198262267853,-44.6059297,213.72330198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6219,2021-09-17 03:00:00,0.0,0.0,0.0,260,255.45205479452054,1356.4218589250893,2021-09-17 03:00:00,-135.0,1.412001354227852,-0.5452918254649709,-36.6198452,230.50413849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6220,2021-09-17 04:00:00,0.0,0.0,0.0,260,255.45205479452054,1356.4218589250893,2021-09-17 04:00:00,-120.0,1.412001354227852,-0.38117925972100775,-26.64136365,243.68702208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6221,2021-09-17 05:00:00,0.0,0.0,0.0,260,255.45205479452054,1356.4218589250893,2021-09-17 05:00:00,-105.0,1.412001354227852,-0.19006612914150914,-15.54758574,254.52055378,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6222,2021-09-17 06:00:00,2.6815734397212005,4.734118818184456,7.415692257905656,260,255.45205479452054,1356.4218589250893,2021-09-17 06:00:00,-90.0,1.412001354227852,0.015023522253913957,-3.88263333,264.09238421,2.6827160651856907,4.734115212947723,3.388422702172812e-06,7.416834666556116,1.0004261026185466,-91.0863578392496,-82.5
6223,2021-09-17 07:00:00,79.04683420727959,57.67170351057545,136.71853771785504,260,255.45205479452054,1356.4218589250893,2021-09-17 07:00:00,-75.0,1.412001354227852,0.22011317364933686,7.98439219,273.27577735,79.13329380032708,57.6716595910728,6.247025643724383e-05,136.80501586165633,1.001093776795928,-82.5,-67.5
6224,2021-09-17 08:00:00,241.43537207496325,80.18081092364417,321.6161829986074,260,255.45205479452054,1356.4218589250893,2021-09-17 08:00:00,-60.0,1.412001354227852,0.4112263042288358,19.73746623,282.88277861,241.72717794886347,80.18074986248033,0.00014695480043644922,321.90807476614424,1.001208629337915,-67.5,-52.5
6225,2021-09-17 09:00:00,410.3519211865035,90.84553666118667,501.19745784769015,260,255.45205479452054,1356.4218589250893,2021-09-17 09:00:00,-45.0,1.412001354227852,0.5753388699727988,31.00692961,293.85889378,410.86336998036506,90.84546747837179,0.0002290101564870008,501.70906646889335,1.0012463662711333,-52.5,-37.5
6226,2021-09-17 10:00:00,548.6395648366192,96.47888399963296,645.1184488362521,260,255.45205479452054,1356.4218589250893,2021-09-17 10:00:00,-30.0,1.412001354227852,0.7012668707346131,41.23012548,307.49298487,549.3326871370174,96.47881052677984,0.00029477140118603295,645.8117924351984,1.0012633472771957,-37.5,-22.5
6227,2021-09-17 11:00:00,638.1072477030388,99.27444202337844,737.3816897264172,260,255.45205479452054,1356.4218589250893,2021-09-17 11:00:00,-15.0,1.412001354227852,0.7804285213682217,49.43883846,325.44013164,638.9184204335539,99.27436642158668,0.00033692887605629767,738.1931237840167,1.0012712169207216,-22.5,-7.5
6228,2021-09-17 12:00:00,669.1588249166568,100.0704246924071,769.2292496090639,260,255.45205479452054,1356.4218589250893,2021-09-17 12:00:00,0.0,1.412001354227852,0.8074290862037575,54.11046292,348.60001743,670.011030937946,100.07034848444003,0.0003514808546392985,770.0817309032407,1.0012735482064297,-7.5,7.5
6229,2021-09-17 13:00:00,638.6030237271119,99.12868387230094,737.7317075994129,260,255.45205479452054,1356.4218589250893,2021-09-17 13:00:00,15.0,1.412001354227852,0.7804285213682217,53.79821687,14.214873430000011,639.4148266964978,99.12860838151033,0.00033708880832772657,738.5437721668164,1.0012712169207216,7.5,22.5
6230,2021-09-17 14:00:00,549.4342846555676,96.24523637286211,645.6795210284297,260,255.45205479452054,1356.4218589250893,2021-09-17 14:00:00,30.0,1.412001354227852,0.7012668707346131,48.61617672,36.804559710000035,550.1284109630851,96.24516307794178,0.00029502776966619824,646.3738690687966,1.0012633472771957,22.5,37.5
6231,2021-09-17 15:00:00,411.225877635701,90.58859346512259,501.8144711008236,260,255.45205479452054,1356.4218589250893,2021-09-17 15:00:00,45.0,1.412001354227852,0.5753388699727988,40.09569902,54.153670610000006,411.73841569940333,90.58852447798108,0.0002292920858931503,502.32716946947033,1.0012463662711333,37.5,52.5
6232,2021-09-17 16:00:00,242.1991482838742,79.95626071822436,322.15540900209857,260,255.45205479452054,1356.4218589250893,2021-09-17 16:00:00,60.0,1.412001354227852,0.4112263042288358,29.70133785,67.38315863000003,242.4918772801081,79.95619982806522,0.0001472011868247036,322.44822430936017,1.001208629337915,52.5,67.5
6233,2021-09-17 17:00:00,79.48973255164383,57.541491397332365,137.0312239489762,260,255.45205479452054,1356.4218589250893,2021-09-17 17:00:00,75.0,1.412001354227852,0.22011317364933686,18.34004338,78.12571021000002,79.57667657662334,57.541447576991885,6.261313091036644e-05,137.11818676674613,1.001093776795928,67.5,82.5
6234,2021-09-17 18:00:00,2.703123731273358,4.727783032468121,7.430906763741479,260,255.45205479452054,1356.4218589250893,2021-09-17 18:00:00,90.0,1.412001354227852,0.015023522253913957,6.54104977,87.61954907,2.704275539373509,4.727779432056363,3.3953746056746713e-06,7.432058366804478,1.0004261026185466,82.5,91.0863578392496
