res_1,alt_1,az_1,normal_1,res_2,alt_2,az_2,normal_2,res_3,alt_3,az_3,normal_3,res_4,alt_4,az_4,normal_4,tilt_5,alt_5,az_5,normal_5
31.74220299,88.66156771,271.3957891,1358.947852,0,163.4618379,271.3957891,1358.947852,0,91.33843229,271.3957891,1358.947852,1302.728658,16.5381621,271.3957891,1358.947852,385.5252772,73.51920479,271.3957891,1358.947852
31.76040499,88.66074389,271.4003517,1358.890851,0,162.9586928,271.4003517,1358.890851,0,91.33925611,271.4003517,1358.890851,1299.227013,17.04130719,271.4003517,1358.890851,396.969508,73.01462531,271.4003517,1358.890851
31.77860536,88.65992028,271.4050476,1358.834073,0,162.4554678,271.4050476,1358.834073,0,91.34007972,271.4050476,1358.834073,1295.625113,17.54453223,271.4050476,1358.834073,408.3818394,72.51005553,271.4050476,1358.834073
31.79680386,88.65909691,271.4098786,1358.777522,0,161.9521712,271.4098786,1358.777522,0,91.34090309,271.4098786,1358.777522,1291.923259,18.04782879,271.4098786,1358.777522,419.7613742,72.00549647,271.4098786,1358.777522
31.81500062,88.65827377,271.4148466,1358.721201,0,161.4488117,271.4148466,1358.721201,0,91.34172623,271.4148466,1358.721201,1288.12177,18.55118827,271.4148466,1358.721201,431.1071957,71.50095017,271.4148466,1358.721201
31.83321878,88.65744989,271.4199548,1358.665114,0,160.9453922,271.4199548,1358.665114,0,91.34255011,271.4199548,1358.665114,1284.220933,19.05460781,271.4199548,1358.665114,442.4185029,70.99641366,271.4199548,1358.665114
31.85141104,88.65662727,271.4252031,1358.609264,0,160.44192,271.4252031,1358.609264,0,91.34337273,271.4252031,1358.609264,1280.221084,19.55807996,271.4252031,1358.609264,453.6943849,70.49188899,271.4252031,1358.609264
31.86962392,88.65580395,271.4305957,1358.553655,0,159.9383989,271.4305957,1358.553655,0,91.34419605,271.4305957,1358.553655,1276.122539,20.0616011,271.4305957,1358.553655,464.9340015,69.98737519,271.4305957,1358.553655
31.88783409,88.65498092,271.436134,1358.498291,0,159.4348332,271.436134,1358.498291,0,91.34501908,271.436134,1358.498291,1271.925632,20.56516683,271.436134,1358.498291,476.1364926,69.48287229,271.436134,1358.498291
31.90601731,88.6541592,271.4418192,1358.443176,0,158.9312268,271.4418192,1358.443176,0,91.3458408,271.4418192,1358.443176,1267.630704,21.06877318,271.4418192,1358.443176,487.3010017,68.97838036,271.4418192,1358.443176
31.92422069,88.65333682,271.4476557,1358.388312,0,158.4275832,271.4476557,1358.388312,0,91.34666318,271.4476557,1358.388312,1263.238101,21.57241676,271.4476557,1358.388312,498.4266752,68.47389941,271.4476557,1358.388312
31.94242029,88.65251478,271.4536451,1358.333704,0,157.9239067,271.4536451,1358.333704,0,91.34748522,271.4536451,1358.333704,1258.748188,22.0760933,271.4536451,1358.333704,509.5126409,67.96943049,271.4536451,1358.333704
31.96061552,88.65169312,271.45979,1358.279354,0,157.4201971,271.45979,1358.279354,0,91.34830688,271.45979,1358.279354,1254.161301,22.57980285,271.45979,1358.279354,520.5581176,67.46497065,271.45979,1358.279354
31.97880671,88.65087182,271.466093,1358.225267,0,156.9164602,271.466093,1358.225267,0,91.34912818,271.466093,1358.225267,1249.477837,23.08353976,271.466093,1358.225267,531.5621957,66.96052293,271.466093,1358.225267
31.99699297,88.65005093,271.472557,1358.171446,0,156.4126964,271.472557,1358.171446,0,91.34994907,271.472557,1358.171446,1244.698153,23.58730356,271.472557,1358.171446,542.5240789,66.45608537,271.472557,1358.171446
32.01517461,88.64923044,271.4791848,1358.117894,0,155.908911,271.4791848,1358.117894,0,91.35076956,271.4791848,1358.117894,1239.822664,24.09108904,271.4791848,1358.117894,553.4428651,65.95166102,271.4791848,1358.117894
32.03335041,88.64841039,271.4859794,1358.064614,0,155.4051009,271.4859794,1358.064614,0,91.35158961,271.4859794,1358.064614,1234.851711,24.59489912,271.4859794,1358.064614,564.3178294,65.44724494,271.4859794,1358.064614
32.05152101,88.64759078,271.492944,1358.011611,0,154.9012721,271.492944,1358.011611,0,91.35240922,271.492944,1358.011611,1229.785733,25.09872791,271.492944,1358.011611,575.1480556,64.94284115,271.492944,1358.011611
32.06968546,88.64677165,271.5000817,1357.958886,0,154.3974243,271.5000817,1357.958886,0,91.35322835,271.5000817,1357.958886,1224.625115,25.60257568,271.5000817,1357.958886,585.9327607,64.43844773,271.5000817,1357.958886
32.08784377,88.64595299,271.5073959,1357.906445,0,153.8935612,271.5073959,1357.906445,0,91.35404701,271.5073959,1357.906445,1219.37029,26.10643881,271.5073959,1357.906445,596.6710798,63.93406671,271.5073959,1357.906445
